Date,Index,Open,High,Low,Close,Adj Close,Volume,Market Closed,Adj Close Moving Average 10,Adj Close Moving Average 21
2018-01-02,GSPTSE,16213.40039,16310.0,16181.0,16310.0,16310.0,15707340000.0,False,16310.0,16310.0
2018-01-03,GSPTSE,16336.7002,16386.30078,16322.59961,16371.59961,16371.59961,19686540000.0,False,16340.799804999999,16340.799804999999
2018-01-04,GSPTSE,16385.40039,16421.40039,16344.90039,16412.90039,16412.90039,19597520000.0,False,16364.833333333334,16364.833333333334
2018-01-05,GSPTSE,16362.59961,16370.29981,16309.90039,16349.40039,16349.40039,16031310000.0,False,16360.9750975,16360.9750975
2018-01-06,GSPTSE,16362.59961,16370.29981,16309.90039,16349.40039,16349.40039,16031310000.0,True,16358.660156000002,16358.660156000002
2018-01-07,GSPTSE,16362.59961,16370.29981,16309.90039,16349.40039,16349.40039,16031310000.0,True,16357.116861666667,16357.116861666667
2018-01-08,GSPTSE,16355.40039,16373.5,16297.90039,16317.7002,16317.7002,16609540000.0,False,16351.485910000001,16351.485910000001
2018-01-09,GSPTSE,16351.40039,16358.2002,16309.79981,16319.2002,16319.2002,23691170000.0,False,16347.45019625,16347.45019625
2018-01-10,GSPTSE,16314.2002,16341.09961,16229.29981,16248.0,16248.0,24395330000.0,False,16336.400174444445,16336.400174444445
2018-01-11,GSPTSE,16276.2002,16301.40039,16244.90039,16286.90039,16286.90039,23116120000.0,False,16331.450196,16331.450196
2018-01-12,GSPTSE,16296.09961,16323.5,16278.09961,16308.2002,16308.2002,24289110000.0,False,16331.270215999999,16329.336559999998
2018-01-13,GSPTSE,16296.09961,16323.5,16278.09961,16308.2002,16308.2002,24289110000.0,True,16324.930275,16327.575196666667
2018-01-14,GSPTSE,16296.09961,16323.5,16278.09961,16308.2002,16308.2002,24289110000.0,True,16314.460256,16326.084812307692
2018-01-15,GSPTSE,16321.79981,16384.5,16313.5,16371.79981,16371.79981,12389150000.0,False,16316.700198,16329.350169285713
2018-01-16,GSPTSE,16368.59961,16373.29981,16270.90039,16298.90039,16298.90039,24662740000.0,False,16311.650198,16327.320184
2018-01-17,GSPTSE,16320.79981,16358.2002,16277.59961,16326.7002,16326.7002,22146320000.0,False,16309.380179,16327.281435
2018-01-18,GSPTSE,16339.79981,16344.09961,16270.59961,16284.5,16284.5,21230810000.0,False,16306.060159,16324.76488
2018-01-19,GSPTSE,16311.29981,16364.29981,16288.40039,16353.5,16353.5,20114360000.0,False,16309.490139000001,16326.361275555557
2018-01-20,GSPTSE,16311.29981,16364.29981,16288.40039,16353.5,16353.5,20114360000.0,True,16320.040139,16327.789629473686
2018-01-21,GSPTSE,16311.29981,16364.29981,16288.40039,16353.5,16353.5,20114360000.0,True,16326.700100000002,16329.075148
2018-01-22,GSPTSE,16348.90039,16360.5,16303.40039,16348.0,16348.0,20528520000.0,False,16330.680080000002,16329.976331428572
2018-01-23,GSPTSE,16342.0,16383.79981,16252.40039,16357.59961,16357.59961,23408560000.0,False,16335.620020999999,16332.24297952381
2018-01-24,GSPTSE,16360.79981,16365.0,16238.40039,16284.2002,16284.2002,24579240000.0,False,16333.220021000001,16328.081102857144
2018-01-25,GSPTSE,16309.40039,16315.09961,16194.29981,16204.0,16204.0,23494400000.0,False,16316.440040000001,16318.133465238096
2018-01-26,GSPTSE,16227.2002,16239.7002,16180.7002,16239.2002,16239.2002,20211280000.0,False,16310.470021000001,16312.885837142854
2018-01-27,GSPTSE,16227.2002,16239.7002,16180.7002,16239.2002,16239.2002,20211280000.0,True,16301.720020999997,16307.63820904762
2018-01-28,GSPTSE,16227.2002,16239.7002,16180.7002,16239.2002,16239.2002,20211280000.0,True,16297.190040999998,16302.39058095238
2018-01-29,GSPTSE,16195.7002,16195.7002,16090.7002,16094.7002,16094.7002,20016140000.0,False,16271.310061,16291.771533333333
2018-01-30,GSPTSE,16030.2002,16054.5,15947.09961,15955.5,15955.5,22704500000.0,False,16231.510060999999,16274.452476190476
2018-01-31,GSPTSE,15956.09961,15979.90039,15898.7002,15951.7002,15951.7002,24979030000.0,False,16191.330080999998,16260.342961904762
2018-02-01,GSPTSE,15920.0,15922.59961,15818.0,15860.90039,15860.90039,22485440000.0,False,16142.620119999998,16240.057247619048
2018-02-02,GSPTSE,15780.5,15783.0,15600.90039,15606.0,15606.0,23325110000.0,False,16067.460159,16206.619142857144
2018-02-03,GSPTSE,15780.5,15783.0,15600.90039,15606.0,15606.0,23325110000.0,True,15999.640139,16173.18103809524
2018-02-04,GSPTSE,15780.5,15783.0,15600.90039,15606.0,15606.0,23325110000.0,True,15939.840138999998,16139.742933333337
2018-02-05,GSPTSE,15490.09961,15584.09961,15284.40039,15334.79981,15334.79981,26458310000.0,False,15849.400099999999,16090.36198095238
2018-02-06,GSPTSE,15112.29981,15401.79981,14945.79981,15363.90039,15363.90039,28921340000.0,False,15761.870119,16045.838171428572
2018-02-07,GSPTSE,15365.40039,15421.2002,15325.7002,15330.59961,15330.59961,24334410000.0,False,15671.01006,15998.40481
